processorFamily,procesorName,cores,process,osName,osVersion
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kconhost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMfeAVSvc.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KGoogleCrashHandler.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KGoogleCrashHandler64.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmcshield.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kdllhost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSecurityHealthService.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kunsecapp.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSgrmBroker.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kgamingservices.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kgamingservicesnet.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMcAWFwk.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMcVulCtr.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kwlanext.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KOfficeClickToRun.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KAppVShNotify.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSearchIndexer.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,x64.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kwinlogon.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kdwm.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Katieclxx.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksihost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KAcPowerNotification.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KArmourySocketServer.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ktaskhostw.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,framework.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kexplorer.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Knvrla.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMcPvTray.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Helper.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSearchHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KRuntimeBroker.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KYourPhone.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KShellExperienceHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kctfmon.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KLockApp.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KArmourySwAgent.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Knvsphelper64.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Share.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KTextInputHost.exe,Microsoft Windows 11 Home,10.0.22000
